epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,10368.1,1.25969,2.42147,1.53295,0.01644,1.32192,0.75609,0.67225,0.74912,0.47164,0.63123,0.59451,0.58812,0.3088,1.31601,2.67239,1.19022,0.02834,0,0.0269785,0.00899282,0.0269785,0.00899282,0.0269785,0.00899282,0.0269785,0.00899282
33,10687.5,1.25761,2.41783,1.501,0.01638,1.29224,0.74844,0.69306,0.76245,0.48141,0.64106,0.60072,0.6038,0.31547,1.31329,2.65572,1.15175,0.0283,0,0.0267878,0.00892928,0.0267878,0.00892928,0.0267878,0.00892928,0.0267878,0.00892928
34,11007.7,1.25235,2.40279,1.50601,0.01617,1.28261,0.76173,0.691,0.76748,0.49137,0.6525,0.59176,0.6082,0.32427,1.3013,2.65053,1.13467,0.02802,0,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404
35,11327.1,1.24944,2.3954,1.48242,0.01616,1.27076,0.78708,0.69455,0.77754,0.4968,0.66583,0.60146,0.61303,0.32571,1.29693,2.66329,1.11036,0.02791,0,0.0263914,0.00879713,0.0263914,0.00879713,0.0263914,0.00879713,0.0263914,0.00879713
36,11647.5,1.24757,2.37176,1.47716,0.01621,1.25966,0.7742,0.71358,0.78619,0.50068,0.66409,0.61359,0.62486,0.3301,1.2936,2.63788,1.10374,0.02775,0,0.0261857,0.00872857,0.0261857,0.00872857,0.0261857,0.00872857,0.0261857,0.00872857
37,11967.2,1.23999,2.37706,1.45878,0.01603,1.2429,0.77283,0.72422,0.79238,0.50847,0.66431,0.63128,0.63063,0.33871,1.28335,2.63303,1.08196,0.02744,0,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839
38,12286.2,1.23426,2.37019,1.42466,0.01597,1.21453,0.78929,0.72142,0.79753,0.51283,0.67337,0.61426,0.62442,0.33632,1.27932,2.62917,1.05402,0.02735,0,0.0257599,0.00858664,0.0257599,0.00858664,0.0257599,0.00858664,0.0257599,0.00858664
39,12605.5,1.23217,2.35807,1.43789,0.01595,1.22468,0.79377,0.73259,0.80401,0.51931,0.67793,0.64354,0.64229,0.34511,1.27579,2.62966,1.02657,0.02732,0,0.02554,0.00851333,0.02554,0.00851333,0.02554,0.00851333,0.02554,0.00851333
40,12924.3,1.2268,2.3443,1.4234,0.01589,1.20717,0.79127,0.7421,0.80778,0.52362,0.69362,0.64648,0.65285,0.3525,1.27113,2.63044,1.02043,0.02711,0,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851
41,13243.1,1.22715,2.33256,1.40825,0.01592,1.20456,0.79572,0.7453,0.81603,0.52981,0.70999,0.64381,0.65776,0.3579,1.26476,2.59774,1.00772,0.02694,0,0.0250866,0.0083622,0.0250866,0.0083622,0.0250866,0.0083622,0.0250866,0.0083622
42,13560.4,1.22165,2.32139,1.3847,0.01572,1.18588,0.8181,0.74078,0.82351,0.53682,0.71727,0.6506,0.65961,0.35976,1.26353,2.61086,0.97795,0.0269,0,0.0248533,0.00828443,0.0248533,0.00828443,0.0248533,0.00828443,0.0248533,0.00828443
43,13879.1,1.21413,2.29864,1.37742,0.01564,1.16745,0.81814,0.75455,0.82554,0.54122,0.71839,0.65442,0.66848,0.36578,1.25524,2.5943,0.97253,0.02671,0,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525
44,14199.8,1.20766,2.30609,1.37984,0.01577,1.16612,0.82876,0.7491,0.82969,0.546,0.72542,0.65234,0.67034,0.36796,1.25437,2.59361,0.9587,0.02667,0,0.024374,0.00812468,0.024374,0.00812468,0.024374,0.00812468,0.024374,0.00812468
45,14520.6,1.20382,2.28002,1.36084,0.01552,1.14587,0.83442,0.75813,0.83537,0.55151,0.72857,0.66194,0.67637,0.36991,1.2524,2.59909,0.94028,0.02662,0,0.0241283,0.00804277,0.0241283,0.00804277,0.0241283,0.00804277,0.0241283,0.00804277
46,14840.4,1.19846,2.27832,1.34476,0.01553,1.14212,0.8407,0.76322,0.83827,0.55338,0.73337,0.66097,0.67752,0.37203,1.24528,2.58955,0.93532,0.02653,0,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954
47,15160.7,1.20171,2.27428,1.33341,0.01556,1.13183,0.84292,0.76015,0.84277,0.55918,0.73261,0.66816,0.68506,0.37795,1.23564,2.58898,0.90983,0.02631,0,0.0236251,0.00787503,0.0236251,0.00787503,0.0236251,0.00787503,0.0236251,0.00787503
48,15481.8,1.19708,2.26104,1.32604,0.01543,1.11093,0.8268,0.78451,0.84573,0.55957,0.72606,0.68484,0.68899,0.37846,1.2359,2.58006,0.89973,0.02634,0,0.0233679,0.00778929,0.0233679,0.00778929,0.0233679,0.00778929,0.0233679,0.00778929
49,15802,1.19502,2.24541,1.30746,0.01531,1.10304,0.84414,0.77939,0.84933,0.56267,0.73779,0.68647,0.69353,0.38309,1.23117,2.57202,0.89158,0.02618,0,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234
50,16122.3,1.18098,2.23038,1.3062,0.01519,1.09132,0.84511,0.78198,0.85311,0.56905,0.74295,0.68548,0.69684,0.38836,1.22279,2.5609,0.8805,0.02596,0,0.0228427,0.00761423,0.0228427,0.00761423,0.0228427,0.00761423,0.0228427,0.00761423
51,16443.7,1.18796,2.23134,1.29399,0.0153,1.07668,0.83308,0.78943,0.85428,0.57162,0.73486,0.68887,0.69682,0.39125,1.21928,2.55963,0.8675,0.02589,0,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
